제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
오버워치 창키우기에서 길이만 계속 늘렸을 때 ㅋㅋㅋㅋㅋㅋㅋ,오버워치/ 워크샵/ 창키우기/ 오버워치/Overwatch/창키우기,414390,8:27,2019-09-23,327,"3,237"
이 게임 미쳤네 32 대 32가 있다고??? 스케일보소 (모던워페어),콜 오브 듀티/콜 오브 듀티 모던 워페어/ 콜 오브 듀티/ 콜옵/콜옵/모던워페어/ 모던워페어/콜오브듀티 지상전/call of duty,238658,8:42,2019-09-22,850,"2,410"
운영자님이  아이템을 만들어주심 대박ㅋㅋㅋ (레식),레식/레인보우식스 시즈/ 레식/ 레식 강의/레식 강의/ 부적/레식  부적,122914,11:18,2019-09-21,322,"1,915"
2019년 FPS 게임의 마지막 희망이 나왔습니다.,콜 오브 듀티/모던워페어/콜 오브 듀티 모던워페어/콜 오브 듀티 모던워페어 리부트/모던워페어 리부트/call of duty modern warfare,774771,7:52,2019-09-20,"1,554","6,500"
양아지랑 오늘부터 1일입니다. (데드스페이스3),양아지/ 양아지/ 우결/양아지 우결/데드스페이스3/ 데드스페이스/양아지 데드스페이스/데드스페이스/양아지 ,87324,10:02,2019-09-19,405,"2,200"
살면서 욕을 제일 많이 먹은 날 (오버워치 둠피스트),오버워치/둠피스트/ 둠피스트/ 둠피/둠피/Overwatch/ 인성질,207368,10:16,2019-09-18,"1,227","4,658"
님들 양아지가 저 좋아한대요;;,배틀그라운드/ 양아지/양아지/양아지 배그,109200,10:07,2019-09-17,519,"2,784"
발소리가 없는 최고의 암살자 【시그마】 (오버워치),오버워치/최고의 암살자  최고의 암살자/ 젠야타 영상/ 암살 젠야타/ 암살/ 암살 시그마/시그마/ 시그마/시그마 장인/ 인성질,371927,10:10,2019-09-14,560,"3,547"
前랭커가 다이아까지 떨어졌을 때 (오버워치),레식/오버워치/ 오버워치/ 오버워치 다이아/오버워치 다이아/Overwatch/ 옵치/옵치,123384,10:15,2019-09-13,245,"1,973"
레식 국가대표가 되었습니다. MVP는 당연히 ,레식/레식 국가대표/레식 국가대항전/레인보우식스 시즈 국가대항전/ 레식/레식 대만/한국 vs 대만/레식 한국 대만/레식 한국/레인보우식스시즈 국가대표,158930,14:05,2019-09-11,416,"2,956"
윷놀이 한 판에 300만원,윷놀이/300만원/ 300만원/오버워치 스트리머 대난투/오버워치 플랫폼 대전/오버워치 플랫폼,24547,10:32,2019-09-10,82,695
아프리카tv 시메트라로 기강한번 잡았습니다. (오버워치),오버워치/오버워치 플랫폼대전/플랫폼대전/Overwatch/ 오버워치/ 플랫폼대전/ 스트리머 대전/ 플랫폼/ 시메트라/시메트라,120943,14:12,2019-09-09,203,"1,791"
상상도 못한 최강의 합체 ㅋㅋㅋㅋ (레식),타찬카 클래쉬/클래쉬/레식 합체/ 레식/레식 모리질/레인보우식스 시즈/r6s/레식,141284,10:05,2019-09-08,399,"2,157"
탱크가 점점 진화하는 배틀로얄 (월탱),월탱/월드 오브 탱크/진화/배틀로얄/진화하는 배틀로얄/진화하는 탱크/ 월드오브탱크/ 월탱,35924,7:41,2019-09-06,105,586
